"","pi_D08","is_ok","CO2.PPM.","SIO2.WT..","TIO2.WT..","AL2O3.WT..","FeOT_calc","MGO.WT..","CAO.WT..","NA2O.WT..","K2O.WT..","P2O5.WT..","NB.PPM.","CE.PPM.","LA.PPM."
"49",NA,0,1.88081359228079,50.9,2.43,11.85,8.29,14.9,8.68,2.09,0.524,0.36,NA,NA,NA
"50",NA,0,0.954242509439325,51.56,3.24,13.32,6.9,10.78,10.47,2.25,0.616,0.22,NA,NA,NA
"51",NA,0,1.99122607569249,51,2.47,12.47,9.92,11.05,9.73,2.25,0.4,0.21,NA,NA,NA
"52",NA,0,1.44715803134222,52.91,2.07,13.2,8.12,11.06,9.22,2.58,0.431,0.372,NA,NA,NA
"53",NA,0,1.23044892137827,54.18,1.89,13.84,6.91,11.05,8.78,2.41,0.337,0.228,NA,NA,NA
"54",NA,0,1.17609125905568,53.24,1.86,13.81,7.24,12.19,8.64,2.45,0.308,0.242,NA,NA,NA
"55",NA,0,1.44715803134222,53.09,1.99,11.93,7.42,12.38,10.02,2.35,0.315,0.344,NA,NA,NA
"56",NA,0,2.58883172559421,53.22,2.05,12.69,7.01,12.3,9.28,2.38,0.317,0.271,NA,NA,NA
"57",NA,0,2.09342168516224,53.31,1.92,13.97,7.28,11.24,9.12,2.34,0.302,0.224,NA,NA,NA
"58",NA,0,1.7160033436348,53.1,2.03,13.56,7.18,12.13,9.87,2.39,0.31,0.149,NA,NA,NA
"59",NA,0,1.94448267215017,53.81,1.81,13.03,7.04,11.26,10.17,2.29,0.285,0.254,NA,NA,NA
"60",NA,0,1.77815125038364,53.1,1.95,13.45,7.32,11.83,9.09,2.28,0.331,0.155,NA,NA,NA
"61",NA,0,1.76342799356294,53.37,1.91,13.63,7.13,12.06,8.79,2.32,0.315,0.216,NA,NA,NA
"62",NA,0,0.903089986991944,53.5,1.93,13.92,6.43,12.08,8.82,2.35,0.321,0.206,NA,NA,NA
"63",NA,0,1.32221929473392,54.48,2.05,14.28,6.7,9.76,9.1,2.56,0.344,0.203,NA,NA,NA
"64",NA,0,1.32221929473392,53.64,2.05,13.49,7.18,11.63,8.87,2.33,0.318,0.215,NA,NA,NA
"65",NA,0,2.04921802267018,53.35,2.01,13.45,7.47,11.41,9.09,2.35,0.352,0.272,NA,NA,NA
"66",NA,0,1.44715803134222,53.38,2.14,13.91,6.3,12.17,8.86,2.44,0.364,0.25,NA,NA,NA
"67",NA,0,1.27875360095283,53.37,2.07,14.04,6.37,12.17,8.83,2.42,0.372,0.216,NA,NA,NA
"68",NA,0,1.34242268082221,53.6,1.96,13.5,7.43,11.89,8.83,2.33,0.305,0.223,NA,NA,NA
"69",NA,0,1.93449845124357,52.19,1.96,13.3,6.98,11.99,10.52,2.32,0.327,0.273,NA,NA,NA
"70",NA,0,1.39794000867204,52.34,2.12,13.19,7.98,11.71,9.47,2.47,0.34,0.265,NA,NA,NA
"71",NA,0,1.34242268082221,52.32,2.1,12.76,8.57,11.5,9.25,2.51,0.371,0.286,NA,NA,NA
"72",NA,0,2,53.16,2.07,13.62,7.06,12.14,8.63,2.42,0.388,0.274,NA,NA,NA
"73",NA,0,1.93449845124357,53.79,1.93,13.94,6.79,11.46,8.16,2.44,0.301,0.163,NA,NA,NA
"74",NA,0,2.43933269383026,53.63,1.73,13.48,7.57,10.02,9.56,2.79,0.345,0.419,NA,NA,NA
"75",NA,0,2.59879050676312,53.6,1.52,12.83,7.9,11.63,9.56,2.48,0.318,0.281,NA,NA,NA
"76",NA,0,1.68124123737559,53.66,1.91,13.39,7.09,12.13,8.72,2.36,0.334,0.268,NA,NA,NA
"77",NA,0,1.46239799789896,52.9,2.2,13.56,7.44,12.05,8.76,2.36,0.361,0.239,NA,NA,NA
"78",NA,0,1.57978359661681,53.11,2,13.91,7.49,11.77,8.75,2.43,0.361,0.286,NA,NA,NA
"79",NA,0,2.32014628611105,53.32,2.78,13.77,7.32,10.98,8.94,2.64,0.304,0.29,NA,NA,NA
"80",NA,0,1.14612803567824,51.35,2.95,12.62,7.98,12.4,8.89,2.05,0.235,0.27,NA,NA,NA
"81",NA,0,1.88081359228079,49.41,3.47,14.2,9.01,12.05,9.69,1.37,0.223,0.17,NA,NA,NA
